company,consecutive_failures,last_status,last_run
MSKCC (Epidemiology & Biostatistics),0,ok,2026-08-05
MYOB (NZ),0,ok,2026-08-05
Macquarie Group,0,ok,2026-08-05
Maersk,0,ok,2026-08-05
Magna International,0,ok,2026-08-05
Man Group,0,ok,2026-08-05
Manulife,0,ok,2026-08-05
McKinsey & Company,11,failed,2026-08-05
MediaMarkt,0,ok,2026-08-05
Mercedes-Benz Group,0,ok,2026-08-05
Millennium Management,6,failed,2026-08-05
Mistral AI,0,ok,2026-08-05
Modal,0,ok,2026-08-05
Moderna,0,ok,2026-08-05
MongoDB,0,ok,2026-08-05
Motive (Vehicle AI & Fleet Analytics),0,ok,2026-08-05
Munich Re,0,ok,2026-08-05
NAB,0,ok,2026-08-05
NCI DCEG (Division of Cancer Epidemiology & Genetics),0,ok,2026-08-05
Nature Careers - Data Science,0,ok,2026-08-05
Net-A-Porter,0,ok,2026-08-05
Netflix,0,ok,2026-08-05
Nine Entertainment,0,ok,2026-08-05
Nokia,6,failed,2026-08-05
Novartis,0,ok,2026-08-05
Novartis Ireland,0,ok,2026-08-05
Novo Nordisk,0,ok,2026-08-05
Nuvei,0,ok,2026-08-05
OECD,0,ok,2026-08-05
One NZ (Vodafone NZ),0,ok,2026-08-05
OpenAI,0,ok,2026-08-05
OpenText,0,ok,2026-08-05
Orange,0,ok,2026-08-05
Orsted,4,failed,2026-07-29
Oura,0,ok,2026-08-05
Palantir Technologies,0,ok,2026-08-05
Parexel,0,ok,2026-08-05
Partly,0,ok,2026-08-05
Pasteur Institute,6,failed,2026-08-05
PathAI,0,ok,2026-08-05
PayPal,0,ok,2026-08-05
Perplexity AI,0,ok,2026-08-05
Pfizer,0,ok,2026-08-05
Philips,0,ok,2026-08-05
Pinecone,0,ok,2026-08-05
Pinterest,0,ok,2026-08-05
Plaid,0,ok,2026-08-05
Plexure,0,ok,2026-08-05
Point72 Asset Management,0,ok,2026-08-05
Polestar,0,ok,2026-08-05
Porsche,0,ok,2026-08-05
PostNord,0,ok,2026-08-05
Prospa,0,ok,2026-08-05
Pushpay,0,ok,2026-08-05
PwC New Zealand,0,ok,2026-08-05
QBE Insurance,0,ok,2026-08-05
Qantas Airways,6,failed,2026-08-05
Qt Company,0,ok,2026-08-05
RBC,0,ok,2026-08-05
REA Group,0,ok,2026-08-05
RWE,0,ok,2026-08-05
Ramp,0,ok,2026-08-05
Ramsay Health Care,0,ok,2026-08-05
Red Bull,0,ok,2026-08-05
Regeneron Pharmaceuticals,0,ok,2026-08-05
Relay Therapeutics (AI Drug Discovery),0,ok,2026-08-05
ResMed,0,ok,2026-08-05
Resend,0,ok,2026-08-05
Robinhood,0,ok,2026-08-05
Roche,0,ok,2026-08-05
Rocket Internet,0,ok,2026-08-05
Rocket Lab,0,ok,2026-08-05
Runway,0,ok,2026-08-05
Ryanair,0,ok,2026-08-05
SAP,0,ok,2026-08-05
SAS Scandinavian Airlines,6,failed,2026-08-05
SEB,0,ok,2026-08-05
SIX,0,ok,2026-08-05
SKF,0,ok,2026-08-05
SNCF,0,ok,2026-08-05
SafetyCulture,0,ok,2026-08-05
Sainsbury's,0,ok,2026-08-05
Samsara (Connected Vehicles & Fleet Data),0,ok,2026-08-05
Sandvik,0,ok,2026-08-05
Santander,0,ok,2026-08-05
Saxo Bank,0,ok,2026-08-05
Schneider Electric,4,failed,2026-07-29
Scotiabank,0,ok,2026-08-05
Serato,0,ok,2026-08-05
Shell,0,ok,2026-08-05
Shopify,0,ok,2026-08-05
Siemens,0,ok,2026-08-05
Sky,0,ok,2026-08-05
SoFi,0,ok,2026-08-05
SoundCloud,0,ok,2026-08-05
Spark New Zealand,0,ok,2026-08-05
Spotify,0,ok,2026-08-05
Squarepoint Capital,0,ok,2026-08-05
Stability AI,0,ok,2026-08-05
"Stellantis (Peugeot, Citroën, Fiat, Chrysler, Jeep)",6,failed,2026-08-05
Stripe,0,ok,2026-08-05
Sun Life,0,ok,2026-08-05
Swiss Re,0,ok,2026-08-05
Swiss TPH (Swiss Tropical and Public Health Institute),6,failed,2026-08-05
Swisscom,0,ok,2026-08-05
Symend,0,ok,2026-08-05
Syneos Health,0,ok,2026-08-05
TD Bank,0,ok,2026-08-05
Telenor,11,failed,2026-08-05
Telia,0,ok,2026-08-05
Telstra,0,ok,2026-08-05
Temenos,0,ok,2026-08-05
Tempus,0,ok,2026-08-05
Tesco,4,failed,2026-07-29
Tesla,4,failed,2026-07-29
Thales,0,ok,2026-08-05
Thinkific,0,ok,2026-08-05
Toast,0,ok,2026-08-05
Together AI,0,ok,2026-08-05
Too Good To Go,0,ok,2026-08-05
Top Hat,0,ok,2026-08-05
TotalEnergies,0,ok,2026-08-05
Tower Research Capital,0,ok,2026-08-05
Toyota,6,failed,2026-08-05
Twilio,0,ok,2026-08-05
Two Sigma,0,ok,2026-08-05
Tyro Payments,0,ok,2026-08-05
UBS,0,ok,2026-08-05
UEFA (Union of European Football Associations),0,ok,2026-08-05
UNDP (United Nations Development Programme),0,ok,2026-08-05
UNICEF (United Nations Children's Fund),0,ok,2026-08-05
Uber,4,failed,2026-07-29
Unilever,0,ok,2026-08-05
United Airlines,0,ok,2026-08-05
University of Vienna,0,ok,2026-08-05
Up (Ferocia),0,ok,2026-08-05
Uppsala University,6,failed,2026-08-05
Vattenfall,0,ok,2026-08-05
Vend (Lightspeed NZ),0,ok,2026-08-05
Vercel,0,ok,2026-08-05
Vertex Pharmaceuticals,0,ok,2026-08-05
Vibe,0,ok,2026-08-05
Vidyard,11,failed,2026-08-05
Vinted,0,ok,2026-08-05
Visa,0,ok,2026-08-05
Vodafone,0,ok,2026-08-05
Volkswagen Group,0,ok,2026-08-05
Volvo Cars,0,ok,2026-08-05
Volvo Group,6,failed,2026-08-05
Volvo Group (incl. Volvo Trucks),0,ok,2026-08-05
Watershed (Climate Data),0,ok,2026-08-05
Wattpad (WEBTOON Entertainment),0,ok,2026-08-05
Wave (Wave HQ),0,ok,2026-08-05
Waymo,0,ok,2026-08-05
Waymo (Alphabet Autonomous Driving),0,ok,2026-08-05
Wealthsimple,0,ok,2026-08-05
Westpac,0,ok,2026-08-05
Westpac NZ,0,ok,2026-08-05
Wise,0,ok,2026-08-05
Wolt,0,ok,2026-08-05
World Health Organization (WHO),0,ok,2026-08-05
WorldQuant,0,ok,2026-08-05
Xero,0,ok,2026-08-05
Zalando,0,ok,2026-08-05
Zespri,0,ok,2026-08-05
Zip Co,0,ok,2026-08-05
Zurich Insurance,0,ok,2026-08-05
Zymeworks,0,ok,2026-08-05
jobs.ac.uk - Maths Stats and CS,0,ok,2026-08-05
n26,0,ok,2026-08-05
